"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2020","1,858.00","1,864.00","1,874.75","1,855.02","2.10M","0.26%"
"Jan 28, 2020","1,853.25","1,840.50","1,858.11","1,830.02","2.81M","1.36%"
"Jan 27, 2020","1,828.34","1,820.00","1,841.00","1,815.34","3.53M","-1.79%"
"Jan 24, 2020","1,861.64","1,891.37","1,894.99","1,847.44","3.77M","-1.22%"
"Jan 23, 2020","1,884.58","1,885.11","1,889.97","1,872.76","2.48M","-0.15%"
"Jan 22, 2020","1,887.46","1,896.09","1,902.50","1,883.34","3.22M","-0.24%"
"Jan 21, 2020","1,892.00","1,865.00","1,894.27","1,860.00","3.71M","1.46%"
"Jan 17, 2020","1,864.72","1,885.89","1,886.64","1,857.25","4.00M","-0.70%"
"Jan 16, 2020","1,877.94","1,882.99","1,885.59","1,866.02","2.66M","0.85%"
"Jan 15, 2020","1,862.02","1,872.25","1,878.86","1,855.09","2.90M","-0.40%"
"Jan 14, 2020","1,869.44","1,885.88","1,887.11","1,858.55","3.45M","-1.16%"
"Jan 13, 2020","1,891.30","1,891.31","1,898.00","1,880.80","2.79M","0.43%"
"Jan 10, 2020","1,883.16","1,905.37","1,906.94","1,880.00","2.86M","-0.94%"
"Jan 09, 2020","1,901.05","1,909.89","1,917.82","1,895.80","3.17M","0.48%"
"Jan 08, 2020","1,891.97","1,898.04","1,911.00","1,886.44","3.51M","-0.78%"
"Jan 07, 2020","1,906.86","1,904.50","1,913.89","1,892.04","4.13M","0.21%"
"Jan 06, 2020","1,902.88","1,860.00","1,903.69","1,860.00","4.07M","1.49%"
"Jan 03, 2020","1,874.97","1,864.50","1,886.20","1,864.50","3.77M","-1.21%"
"Jan 02, 2020","1,898.01","1,875.00","1,898.01","1,864.15","4.04M","2.72%"
"Dec 31, 2019","1,847.84","1,842.00","1,853.26","1,832.23","2.51M","0.05%"
"Dec 30, 2019","1,846.89","1,874.00","1,884.00","1,840.62","3.68M","-1.23%"
"Dec 27, 2019","1,869.80","1,882.92","1,901.40","1,866.01","6.19M","0.06%"
"Dec 26, 2019","1,868.77","1,801.01","1,870.46","1,799.50","6.02M","4.45%"
"Dec 24, 2019","1,789.21","1,793.81","1,795.57","1,787.58","881.34K","-0.21%"
"Dec 23, 2019","1,793.00","1,788.26","1,793.00","1,784.51","2.14M","0.36%"
"Dec 20, 2019","1,786.50","1,799.62","1,802.97","1,782.45","5.15M","-0.32%"
"Dec 19, 2019","1,792.28","1,780.50","1,792.99","1,774.06","2.74M","0.46%"
"Dec 18, 2019","1,784.03","1,795.02","1,798.20","1,782.36","3.35M","-0.37%"
"Dec 17, 2019","1,790.66","1,778.01","1,792.00","1,777.39","3.65M","1.21%"
"Dec 16, 2019","1,769.21","1,767.00","1,769.50","1,757.05","3.15M","0.47%"
"Dec 13, 2019","1,760.94","1,765.00","1,768.99","1,755.00","2.75M","0.03%"
"Dec 12, 2019","1,760.33","1,750.00","1,764.00","1,745.44","3.10M","0.66%"
"Dec 11, 2019","1,748.72","1,741.67","1,750.00","1,735.71","2.10M","0.55%"
"Dec 10, 2019","1,739.21","1,747.40","1,750.67","1,735.00","2.52M","-0.59%"
"Dec 09, 2019","1,749.51","1,750.66","1,766.89","1,745.61","2.50M","-0.12%"
"Dec 06, 2019","1,751.60","1,751.20","1,754.40","1,740.13","3.12M","0.64%"
"Dec 05, 2019","1,740.48","1,763.50","1,763.50","1,740.00","2.83M","-1.15%"
"Dec 04, 2019","1,760.69","1,774.01","1,789.09","1,760.22","2.68M","-0.52%"
"Dec 03, 2019","1,769.96","1,760.00","1,772.87","1,747.23","3.53M","-0.65%"
"Dec 02, 2019","1,781.60","1,804.40","1,805.55","1,762.68","3.93M","-1.07%"
"Nov 29, 2019","1,800.80","1,817.78","1,824.69","1,800.79","1.92M","-0.97%"
"Nov 27, 2019","1,818.51","1,801.00","1,824.50","1,797.31","3.04M","1.20%"
"Nov 26, 2019","1,796.94","1,779.92","1,797.03","1,778.35","3.19M","1.30%"
"Nov 25, 2019","1,773.84","1,753.25","1,777.42","1,753.24","3.49M","1.61%"
"Nov 22, 2019","1,745.72","1,739.02","1,746.43","1,731.00","2.48M","0.63%"
"Nov 21, 2019","1,734.71","1,743.00","1,746.87","1,730.36","2.66M","-0.62%"
"Nov 20, 2019","1,745.53","1,749.14","1,762.52","1,734.12","2.79M","-0.41%"
"Nov 19, 2019","1,752.79","1,756.99","1,760.68","1,743.03","2.27M","0.01%"
"Nov 18, 2019","1,752.53","1,738.30","1,753.70","1,722.71","2.84M","0.75%"
"Nov 15, 2019","1,739.49","1,760.05","1,761.68","1,732.86","3.93M","-0.86%"
"Nov 14, 2019","1,754.60","1,751.43","1,766.59","1,749.56","2.27M","0.08%"
"Nov 13, 2019","1,753.11","1,773.39","1,775.00","1,747.32","2.93M","-1.40%"
"Nov 12, 2019","1,778.00","1,774.66","1,786.22","1,771.91","2.04M","0.36%"
"Nov 11, 2019","1,771.65","1,778.00","1,780.00","1,767.13","1.95M","-0.80%"
"Nov 08, 2019","1,785.88","1,787.89","1,789.88","1,774.04","2.13M","-0.13%"
"Nov 07, 2019","1,788.20","1,803.76","1,805.90","1,783.48","2.65M","-0.42%"
"Nov 06, 2019","1,795.77","1,801.00","1,802.50","1,788.58","2.03M","-0.33%"
"Nov 05, 2019","1,801.71","1,809.16","1,810.25","1,794.00","1.89M","-0.16%"
"Nov 04, 2019","1,804.66","1,801.01","1,815.06","1,801.01","2.77M","0.74%"
"Nov 01, 2019","1,791.44","1,788.01","1,797.44","1,785.21","2.79M","0.83%"
"Oct 31, 2019","1,776.66","1,775.99","1,792.00","1,771.48","2.78M","-0.19%"
"Oct 30, 2019","1,779.99","1,760.24","1,782.38","1,759.12","2.45M","0.98%"
"Oct 29, 2019","1,762.71","1,774.81","1,777.00","1,755.81","2.28M","-0.81%"
"Oct 28, 2019","1,777.08","1,748.06","1,778.70","1,742.50","3.71M","0.89%"
"Oct 25, 2019","1,761.33","1,697.55","1,764.21","1,695.00","9.63M","-1.09%"
"Oct 24, 2019","1,780.78","1,771.09","1,788.34","1,760.27","5.20M","1.06%"
"Oct 23, 2019","1,762.17","1,761.30","1,770.05","1,742.00","2.19M","-0.20%"
"Oct 22, 2019","1,765.73","1,788.15","1,789.78","1,762.00","2.23M","-1.12%"
"Oct 21, 2019","1,785.66","1,769.66","1,785.88","1,765.00","2.22M","1.60%"
"Oct 18, 2019","1,757.51","1,787.80","1,793.98","1,749.20","3.37M","-1.68%"
"Oct 17, 2019","1,787.48","1,796.49","1,798.85","1,782.02","2.71M","0.57%"
"Oct 16, 2019","1,777.43","1,773.33","1,786.24","1,770.52","2.80M","0.57%"
"Oct 15, 2019","1,767.38","1,742.14","1,776.45","1,740.62","3.13M","1.78%"
"Oct 14, 2019","1,736.43","1,728.91","1,741.89","1,722.00","1.93M","0.26%"
"Oct 11, 2019","1,731.92","1,742.92","1,745.45","1,729.86","3.28M","0.68%"
"Oct 10, 2019","1,720.26","1,725.24","1,738.29","1,713.75","2.72M","-0.10%"
"Oct 09, 2019","1,721.99","1,719.61","1,729.95","1,714.36","2.09M","0.97%"
"Oct 08, 2019","1,705.51","1,722.49","1,727.00","1,705.00","2.63M","-1.57%"
"Oct 07, 2019","1,732.66","1,731.63","1,747.83","1,723.70","2.19M","-0.40%"
"Oct 04, 2019","1,739.65","1,726.02","1,740.58","1,719.23","2.49M","0.88%"
"Oct 03, 2019","1,724.42","1,713.00","1,725.00","1,685.06","3.62M","0.65%"
"Oct 02, 2019","1,713.23","1,727.74","1,728.89","1,705.00","3.34M","-1.29%"
"Oct 01, 2019","1,735.65","1,746.00","1,755.60","1,728.41","3.17M","-0.01%"
"Sep 30, 2019","1,735.91","1,726.99","1,737.46","1,709.22","2.76M","0.61%"
"Sep 27, 2019","1,725.45","1,748.00","1,749.12","1,713.82","3.95M","-0.83%"
"Sep 26, 2019","1,739.84","1,762.79","1,763.37","1,731.50","3.57M","-1.61%"
"Sep 25, 2019","1,768.33","1,747.36","1,773.00","1,723.00","3.53M","1.53%"
"Sep 24, 2019","1,741.61","1,790.61","1,795.70","1,735.55","4.64M","-2.45%"
"Sep 23, 2019","1,785.30","1,777.00","1,792.70","1,767.32","3.14M","-0.49%"
"Sep 20, 2019","1,794.16","1,821.71","1,830.63","1,780.92","5.56M","-1.50%"
"Sep 19, 2019","1,821.50","1,821.02","1,832.57","1,817.90","2.08M","0.22%"
"Sep 18, 2019","1,817.46","1,817.04","1,822.06","1,795.50","2.54M","-0.28%"
"Sep 17, 2019","1,822.55","1,807.08","1,823.99","1,804.10","2.03M","0.81%"
"Sep 16, 2019","1,807.84","1,824.02","1,825.69","1,800.20","3.68M","-1.71%"
"Sep 13, 2019","1,839.34","1,842.01","1,846.12","1,835.17","1.97M","-0.23%"
"Sep 12, 2019","1,843.55","1,837.63","1,853.66","1,834.28","2.82M","1.13%"
"Sep 11, 2019","1,822.99","1,812.14","1,833.42","1,809.08","2.43M","0.13%"
"Sep 10, 2019","1,820.55","1,822.75","1,825.81","1,805.34","2.61M","-0.59%"
"Sep 09, 2019","1,831.35","1,841.00","1,850.00","1,824.61","3.00M","-0.12%"
"Sep 06, 2019","1,833.51","1,838.22","1,840.65","1,826.40","2.50M","-0.39%"
"Sep 05, 2019","1,840.72","1,821.95","1,842.00","1,815.58","3.33M","2.23%"
"Sep 04, 2019","1,800.62","1,805.00","1,807.63","1,796.23","2.33M","0.60%"
"Sep 03, 2019","1,789.84","1,770.00","1,800.80","1,768.00","3.55M","0.76%"
"Aug 30, 2019","1,776.29","1,797.49","1,799.74","1,764.57","3.06M","-0.57%"
"Aug 29, 2019","1,786.40","1,783.00","1,798.55","1,777.25","3.02M","1.26%"
"Aug 28, 2019","1,764.25","1,755.00","1,767.86","1,744.05","2.42M","0.14%"
"Aug 27, 2019","1,761.83","1,775.73","1,779.40","1,746.68","3.03M","-0.40%"
"Aug 26, 2019","1,768.87","1,766.91","1,770.00","1,743.51","3.09M","1.10%"
"Aug 23, 2019","1,749.62","1,793.03","1,804.90","1,745.23","5.28M","-3.10%"
"Aug 22, 2019","1,805.60","1,828.00","1,829.41","1,800.10","2.66M","-0.98%"
"Aug 21, 2019","1,823.54","1,819.39","1,829.58","1,815.00","2.04M","1.23%"
"Aug 20, 2019","1,801.38","1,814.50","1,816.82","1,799.88","1.93M","-0.81%"
"Aug 19, 2019","1,816.12","1,818.08","1,826.00","1,812.61","2.82M","1.31%"
"Aug 16, 2019","1,792.57","1,792.89","1,802.91","1,784.55","3.05M","0.93%"
"Aug 15, 2019","1,776.12","1,781.99","1,788.00","1,761.96","3.81M","0.75%"
"Aug 14, 2019","1,762.96","1,793.01","1,795.65","1,757.21","4.89M","-3.36%"
"Aug 13, 2019","1,824.34","1,783.00","1,831.74","1,780.00","4.08M","2.21%"
"Aug 12, 2019","1,784.92","1,795.99","1,800.98","1,777.00","2.91M","-1.25%"
"Aug 09, 2019","1,807.58","1,828.95","1,831.09","1,802.22","2.88M","-1.38%"
"Aug 08, 2019","1,832.89","1,806.00","1,834.26","1,798.11","3.70M","2.20%"
"Aug 07, 2019","1,793.40","1,773.99","1,798.93","1,757.00","4.53M","0.31%"
"Aug 06, 2019","1,787.83","1,792.23","1,793.77","1,753.40","5.07M","1.29%"
"Aug 05, 2019","1,765.13","1,770.22","1,788.67","1,748.78","6.06M","-3.19%"
"Aug 02, 2019","1,823.24","1,845.07","1,846.36","1,808.02","4.96M","-1.73%"
"Aug 01, 2019","1,855.32","1,871.72","1,897.92","1,844.01","4.71M","-0.61%"
"Jul 31, 2019","1,866.78","1,898.11","1,899.55","1,849.44","4.47M","-1.67%"
"Jul 30, 2019","1,898.53","1,891.12","1,909.89","1,883.48","2.91M","-0.73%"
"Jul 29, 2019","1,912.45","1,930.00","1,932.23","1,890.54","4.49M","-1.57%"
"Jul 26, 2019","1,943.05","1,942.00","1,950.89","1,924.51","4.93M","-1.56%"
"Jul 25, 2019","1,973.82","2,001.00","2,001.20","1,972.72","4.14M","-1.35%"
"Jul 24, 2019","2,000.81","1,969.30","2,001.30","1,965.87","2.63M","0.32%"
"Jul 23, 2019","1,994.49","1,995.99","1,997.79","1,973.13","2.70M","0.45%"
"Jul 22, 2019","1,985.63","1,971.14","1,989.00","1,958.26","2.91M","1.07%"
"Jul 19, 2019","1,964.52","1,991.21","1,996.00","1,962.23","3.19M","-0.68%"
"Jul 18, 2019","1,977.90","1,980.01","1,987.50","1,951.55","3.50M","-0.71%"
"Jul 17, 2019","1,992.03","2,007.05","2,012.00","1,992.03","2.56M","-0.89%"
"Jul 16, 2019","2,009.90","2,010.58","2,026.32","2,001.22","2.62M","-0.55%"
"Jul 15, 2019","2,020.99","2,021.40","2,022.90","2,001.55","2.98M","0.50%"
"Jul 12, 2019","2,011.00","2,008.27","2,017.00","2,003.87","2.51M","0.50%"
"Jul 11, 2019","2,001.07","2,025.62","2,035.80","1,995.30","4.32M","-0.81%"
"Jul 10, 2019","2,017.41","1,996.51","2,024.94","1,995.40","4.93M","1.46%"
"Jul 09, 2019","1,988.30","1,947.80","1,990.01","1,943.47","4.35M","1.84%"
"Jul 08, 2019","1,952.32","1,934.12","1,956.00","1,928.25","2.88M","0.48%"
"Jul 05, 2019","1,942.91","1,928.60","1,945.90","1,925.30","2.63M","0.20%"
"Jul 03, 2019","1,939.00","1,935.89","1,941.59","1,930.50","1.69M","0.24%"
"Jul 02, 2019","1,934.31","1,919.38","1,934.79","1,906.63","2.65M","0.63%"
"Jul 01, 2019","1,922.19","1,922.98","1,929.82","1,914.66","3.20M","1.51%"
"Jun 28, 2019","1,893.63","1,909.10","1,912.94","1,884.00","3.04M","-0.56%"
"Jun 27, 2019","1,904.28","1,902.00","1,911.24","1,898.04","2.14M","0.34%"
"Jun 26, 2019","1,897.83","1,892.48","1,903.80","1,887.32","2.44M","1.04%"
"Jun 25, 2019","1,878.27","1,911.84","1,916.38","1,872.42","3.01M","-1.86%"
"Jun 24, 2019","1,913.90","1,912.66","1,916.86","1,901.30","2.28M","0.14%"
"Jun 21, 2019","1,911.30","1,916.10","1,925.95","1,907.58","3.93M","-0.36%"
"Jun 20, 2019","1,918.19","1,933.33","1,935.20","1,905.80","3.22M","0.49%"
"Jun 19, 2019","1,908.79","1,907.84","1,919.58","1,892.47","2.90M","0.39%"
"Jun 18, 2019","1,901.37","1,901.35","1,921.67","1,899.79","3.90M","0.81%"
"Jun 17, 2019","1,886.03","1,876.50","1,895.69","1,875.45","2.63M","0.88%"
"Jun 14, 2019","1,869.67","1,864.00","1,876.00","1,859.00","2.85M","-0.03%"
"Jun 13, 2019","1,870.30","1,866.72","1,883.09","1,862.22","2.80M","0.81%"
"Jun 12, 2019","1,855.32","1,853.98","1,865.00","1,844.38","2.68M","-0.45%"
"Jun 11, 2019","1,863.70","1,883.25","1,893.70","1,858.00","4.04M","0.16%"
"Jun 10, 2019","1,860.63","1,822.00","1,884.87","1,818.00","5.37M","3.14%"
"Jun 07, 2019","1,804.03","1,763.70","1,806.25","1,759.49","4.81M","2.83%"
"Jun 06, 2019","1,754.36","1,737.71","1,760.00","1,726.13","3.69M","0.91%"
"Jun 05, 2019","1,738.50","1,749.60","1,752.00","1,715.25","4.24M","0.52%"
"Jun 04, 2019","1,729.56","1,699.24","1,730.82","1,680.89","5.68M","2.18%"
"Jun 03, 2019","1,692.69","1,760.01","1,766.29","1,672.00","9.10M","-4.64%"
"May 31, 2019","1,775.07","1,790.01","1,795.59","1,772.70","4.62M","-2.27%"
"May 30, 2019","1,816.32","1,825.49","1,829.47","1,807.83","3.15M","-0.16%"
"May 29, 2019","1,819.19","1,823.12","1,830.00","1,807.53","4.28M","-0.94%"
"May 28, 2019","1,836.43","1,832.75","1,849.27","1,827.35","3.20M","0.72%"
"May 24, 2019","1,823.28","1,835.89","1,841.76","1,817.85","3.37M","0.43%"
"May 23, 2019","1,815.48","1,836.59","1,844.00","1,804.20","4.42M","-2.38%"
"May 22, 2019","1,859.68","1,851.78","1,871.48","1,851.00","2.94M","0.12%"
"May 21, 2019","1,857.52","1,874.79","1,879.00","1,846.00","4.01M","-0.08%"
"May 20, 2019","1,858.97","1,852.69","1,867.78","1,835.54","3.80M","-0.54%"
"May 17, 2019","1,869.00","1,893.05","1,910.53","1,867.33","4.74M","-2.02%"
"May 16, 2019","1,907.57","1,885.94","1,917.51","1,882.29","4.71M","1.95%"
"May 15, 2019","1,871.15","1,827.95","1,874.43","1,823.00","4.69M","1.69%"
"May 14, 2019","1,840.12","1,839.50","1,852.44","1,815.75","4.63M","0.96%"
"May 13, 2019","1,822.68","1,836.56","1,846.54","1,818.00","5.78M","-3.56%"
"May 10, 2019","1,889.98","1,898.00","1,903.79","1,856.00","5.72M","-0.52%"
"May 09, 2019","1,899.87","1,900.00","1,909.40","1,876.00","5.31M","-0.93%"
"May 08, 2019","1,917.77","1,918.87","1,935.37","1,910.00","4.08M","-0.17%"
"May 07, 2019","1,921.00","1,939.99","1,949.10","1,903.38","5.90M","-1.51%"
"May 06, 2019","1,950.55","1,917.98","1,959.00","1,910.50","5.42M","-0.61%"
"May 03, 2019","1,962.46","1,949.00","1,964.40","1,936.00","6.38M","3.24%"
"May 02, 2019","1,900.82","1,913.33","1,921.55","1,881.87","3.96M","-0.56%"
"May 01, 2019","1,911.52","1,933.09","1,943.64","1,910.55","3.12M","-0.78%"
"Apr 30, 2019","1,926.52","1,930.10","1,935.71","1,906.95","3.51M","-0.61%"
"Apr 29, 2019","1,938.43","1,949.00","1,956.34","1,934.09","4.02M","-0.63%"
"Apr 26, 2019","1,950.63","1,929.00","1,951.00","1,898.00","8.43M","2.54%"
"Apr 25, 2019","1,902.25","1,917.00","1,922.45","1,900.31","6.10M","0.03%"
"Apr 24, 2019","1,901.75","1,925.00","1,929.69","1,898.16","3.68M","-1.14%"
"Apr 23, 2019","1,923.77","1,891.20","1,929.26","1,889.58","4.64M","1.93%"
"Apr 22, 2019","1,887.31","1,855.40","1,888.42","1,845.64","3.37M","1.38%"
"Apr 18, 2019","1,861.69","1,868.79","1,870.82","1,859.48","2.75M","-0.17%"
"Apr 17, 2019","1,864.82","1,872.99","1,876.47","1,860.44","2.89M","0.10%"
"Apr 16, 2019","1,863.04","1,851.35","1,869.77","1,848.00","3.04M","0.98%"
"Apr 15, 2019","1,844.87","1,842.00","1,846.85","1,818.90","3.72M","0.10%"
"Apr 12, 2019","1,843.06","1,848.40","1,851.50","1,841.30","3.11M","-0.05%"
"Apr 11, 2019","1,844.07","1,848.70","1,849.95","1,840.31","2.65M","-0.18%"
"Apr 10, 2019","1,847.33","1,841.00","1,848.00","1,828.81","2.96M","0.63%"
"Apr 09, 2019","1,835.84","1,845.49","1,853.09","1,831.78","3.71M","-0.76%"
"Apr 08, 2019","1,849.86","1,833.23","1,850.20","1,825.11","3.75M","0.68%"
"Apr 05, 2019","1,837.28","1,829.00","1,838.58","1,825.19","3.64M","1.01%"
"Apr 04, 2019","1,818.86","1,820.65","1,828.75","1,804.20","3.62M","-0.10%"
"Apr 03, 2019","1,820.70","1,826.72","1,830.00","1,809.62","3.98M","0.37%"
"Apr 02, 2019","1,813.98","1,811.02","1,820.00","1,805.12","3.45M","-0.01%"
"Apr 01, 2019","1,814.19","1,800.11","1,815.67","1,798.73","4.24M","1.88%"
"Mar 29, 2019","1,780.75","1,786.58","1,792.86","1,776.63","3.32M","0.41%"
"Mar 28, 2019","1,773.42","1,770.00","1,777.93","1,753.47","3.04M","0.44%"
"Mar 27, 2019","1,765.70","1,784.13","1,787.50","1,745.68","4.32M","-1.01%"
"Mar 26, 2019","1,783.76","1,793.00","1,805.77","1,773.36","4.87M","0.54%"
"Mar 25, 2019","1,774.26","1,757.79","1,782.68","1,747.50","5.10M","0.54%"
"Mar 22, 2019","1,764.77","1,810.17","1,818.98","1,763.11","6.36M","-3.00%"
"Mar 21, 2019","1,819.26","1,796.26","1,823.75","1,787.28","5.77M","1.22%"
"Mar 20, 2019","1,797.27","1,769.94","1,799.50","1,767.03","6.27M","2.01%"
"Mar 19, 2019","1,761.85","1,753.51","1,784.16","1,753.51","6.36M","1.13%"
"Mar 18, 2019","1,742.15","1,712.70","1,750.00","1,712.63","5.43M","1.74%"
"Mar 15, 2019","1,712.36","1,703.00","1,718.80","1,693.13","7.55M","1.55%"
"Mar 14, 2019","1,686.22","1,691.20","1,702.00","1,684.34","2.95M","-0.27%"
"Mar 13, 2019","1,690.81","1,683.00","1,700.00","1,679.35","3.55M","1.06%"
"Mar 12, 2019","1,673.10","1,669.00","1,684.27","1,660.98","3.61M","0.15%"
"Mar 11, 2019","1,670.62","1,626.12","1,672.29","1,626.01","3.88M","3.07%"
"Mar 08, 2019","1,620.80","1,604.01","1,622.72","1,586.57","4.67M","-0.32%"
"Mar 07, 2019","1,625.95","1,667.37","1,669.75","1,620.51","4.96M","-2.58%"
"Mar 06, 2019","1,668.95","1,695.97","1,697.75","1,668.28","4.00M","-1.39%"
"Mar 05, 2019","1,692.43","1,702.95","1,707.80","1,689.01","3.68M","-0.22%"
"Mar 04, 2019","1,696.17","1,685.00","1,709.43","1,674.36","6.17M","1.46%"
"Mar 01, 2019","1,671.73","1,655.13","1,674.26","1,651.00","4.97M","1.95%"
"Feb 28, 2019","1,639.83","1,635.25","1,651.77","1,633.83","3.03M","-0.08%"
"Feb 27, 2019","1,641.09","1,628.18","1,641.81","1,615.10","3.15M","0.29%"
"Feb 26, 2019","1,636.40","1,625.98","1,639.99","1,616.13","2.67M","0.21%"
"Feb 25, 2019","1,633.00","1,641.45","1,654.60","1,630.39","3.18M","0.09%"
"Feb 22, 2019","1,631.56","1,623.50","1,634.94","1,621.17","3.10M","0.75%"
"Feb 21, 2019","1,619.44","1,619.85","1,623.56","1,600.91","3.48M","-0.16%"
"Feb 20, 2019","1,622.10","1,630.00","1,634.93","1,610.12","3.34M","-0.34%"
"Feb 19, 2019","1,627.58","1,601.00","1,634.00","1,600.56","3.68M","1.22%"
"Feb 15, 2019","1,607.95","1,627.86","1,628.91","1,604.50","4.34M","-0.91%"
"Feb 14, 2019","1,622.65","1,624.50","1,637.90","1,606.06","4.12M","-1.06%"
"Feb 13, 2019","1,640.00","1,647.00","1,656.38","1,637.11","3.56M","0.12%"
"Feb 12, 2019","1,638.01","1,604.00","1,639.39","1,598.88","4.86M","2.95%"
"Feb 11, 2019","1,591.00","1,600.98","1,609.29","1,586.00","3.32M","0.18%"
"Feb 08, 2019","1,588.22","1,586.00","1,588.59","1,566.76","5.66M","-1.62%"
"Feb 07, 2019","1,614.37","1,625.00","1,625.54","1,592.91","4.63M","-1.58%"
"Feb 06, 2019","1,640.26","1,670.75","1,672.26","1,633.34","3.94M","-1.12%"
"Feb 05, 2019","1,658.81","1,643.34","1,665.26","1,642.50","4.45M","1.56%"
"Feb 04, 2019","1,633.31","1,623.00","1,649.63","1,613.50","4.93M","0.44%"
"Feb 01, 2019","1,626.23","1,638.88","1,673.06","1,622.01","11.51M","-5.38%"
"Jan 31, 2019","1,718.73","1,692.85","1,736.41","1,679.08","10.91M","2.89%"
"Jan 30, 2019","1,670.43","1,623.00","1,676.95","1,619.68","5.78M","4.80%"
"Jan 29, 2019","1,593.88","1,631.27","1,632.38","1,590.72","4.63M","-2.69%"
"Jan 28, 2019","1,637.89","1,643.59","1,645.00","1,614.09","4.84M","-1.96%"
"Jan 25, 2019","1,670.57","1,670.50","1,683.48","1,661.61","4.96M","0.95%"
"Jan 24, 2019","1,654.93","1,641.07","1,657.26","1,631.78","4.09M","0.91%"
"Jan 23, 2019","1,640.02","1,656.00","1,657.43","1,612.00","5.23M","0.48%"
"Jan 22, 2019","1,632.17","1,681.00","1,681.87","1,610.20","6.42M","-3.77%"
"Jan 18, 2019","1,696.20","1,712.00","1,716.20","1,691.54","6.02M","0.18%"
"Jan 17, 2019","1,693.22","1,680.00","1,700.17","1,677.50","4.21M","0.56%"
"Jan 16, 2019","1,683.78","1,684.22","1,705.00","1,675.88","6.37M","0.55%"
"Jan 15, 2019","1,674.56","1,632.00","1,675.16","1,626.01","6.00M","3.55%"
"Jan 14, 2019","1,617.21","1,615.00","1,648.20","1,595.15","6.01M","-1.42%"
"Jan 11, 2019","1,640.56","1,640.55","1,660.29","1,636.22","4.69M","-0.95%"
"Jan 10, 2019","1,656.22","1,641.01","1,663.25","1,621.62","6.51M","-0.19%"
"Jan 09, 2019","1,659.42","1,652.98","1,667.80","1,641.40","6.35M","0.17%"
"Jan 08, 2019","1,656.58","1,664.69","1,676.61","1,616.61","8.88M","1.66%"
"Jan 07, 2019","1,629.51","1,602.31","1,634.56","1,589.18","7.99M","3.44%"
"Jan 04, 2019","1,575.39","1,530.00","1,594.00","1,518.31","9.18M","5.01%"
"Jan 03, 2019","1,500.28","1,520.01","1,538.00","1,497.11","6.98M","-2.52%"
"Jan 02, 2019","1,539.13","1,465.20","1,553.36","1,460.93","7.98M","2.47%"
"Dec 31, 2018","1,501.97","1,510.80","1,520.76","1,487.00","6.95M","1.62%"
"Dec 28, 2018","1,478.02","1,473.35","1,513.47","1,449.00","8.83M","1.12%"
